,title,info,date
0,"كيف سويتها؟ 4

    
        Tabuk University",Info Session,"May 16, 2023"
1,"كيف سويتها ؟3

    
        Tabuk University",Info Session,"May 14, 2023"
2,"معسكر الويب

    
        Tabuk University",Info Session,"May 14, 2023"
3,"كيف سويتها؟ 2

    
        Tabuk University",Info Session,"May 9, 2023"
4,"كيف سويتها ؟

    
        Tabuk University",Info Session,"May 7, 2023"
5,"التشفير

    
        Tabuk University",Info Session,"Apr 13, 2023"
6,"Fazura Game 3

    
        Tabuk University",Info Session,"Apr 10, 2023"
7,"أمن المعلومات

    
        Tabuk University",Info Session,"Apr 8, 2023"
8,"محركات الالعاب

    
        Tabuk University",Info Session,"Apr 7, 2023"
9,"إنترنت الأشياء

    
        Tabuk University",Info Session,"Apr 6, 2023"
10,"الحوسبة السحابية

    
        Tabuk University",Info Session,"Apr 5, 2023"
11,"Fazoura Game 2

    
        Tabuk University",Info Session,"Apr 5, 2023"
12,"Fazoura Game

    
        Tabuk University",Info Session,"Apr 4, 2023"
13,"Motion Graphics

    
        Tabuk University",Workshop / Study Group,"Apr 3, 2023"
14,"مقدمة في التصميم

    
        Tabuk University",Speaker Session / Tech Talk,"Apr 2, 2023"
15,"هل جهازك محمي ؟

    
        Tabuk University",Speaker Session / Tech Talk,"Apr 1, 2023"
16,"مقدمة في علم البيانات

    
        Tabuk University",Speaker Session / Tech Talk,"Mar 31, 2023"
17,"ChatGPT

    
        Tabuk University",Speaker Session / Tech Talk,"Mar 20, 2023"
18,"Global Game Jam

    
        Tabuk University",Hackathon,"Feb 10, 2023"
19,"Visual23

    
        Tabuk University",Study Jam Workshop,"Jan 26, 2023"
20,"تصميم الواجهات UX -UI

    
        Tabuk University",Study Jam Workshop,"Jan 8, 2023"
21,"مقدمة في علم الروبوتات

    
        Tabuk University",Study Jam Workshop,"Jan 2, 2023"
22,"WAS Web Application Security

    
        Tabuk University",Study Jam Workshop,"Dec 29, 2022"
23,"Malwar

    
        Tabuk University",Study Jam Workshop,"Dec 23, 2022"
24,"المحتوى الرقمي

    
        Tabuk University",Study Jam Workshop,"Dec 20, 2022"
25,"البرنامج التدريبي لتطوير اللغة الإنجليزية للتطبيقات التقنية

    
        Tabuk University",Study Jam Workshop,"Dec 17, 2022"
26,"مقدمة في الذكاء الاصطناعي

    
        Tabuk University",Study Jam Workshop,"Dec 11, 2022"
27,"Python basics

    
        Tabuk University",Study Jam Workshop,"Nov 6, 2022"
28,"Design Thinking

    
        Tabuk University",Speaker Session / Tech Talk,"Sep 18, 2022"
29,"UNITY GAME DEVELOPMENT

    
        Tabuk University",Speaker Session / Tech Talk,"Sep 16, 2022"
30,"Introduction to cyber security

    
        Tabuk University",Speaker Session / Tech Talk,"Sep 16, 2022"
31,"GDSC Tabuk info ssession

    
        Tabuk University",Workshop / Study Group,"Aug 24, 2022"
32,"Visual'75

    
        Tabuk University",Study Jam Workshop,"Jun 25, 2022"
33,"الجلسة التعريفية

    
        Tabuk University",Workshop / Study Group,"Oct 23, 2021"
